client_id,start,step_1,step_2,step_3,confirm
555,1,1,1,1,1
647,1,1,1,1,1
934,1,0,0,0,0
1336,1,1,1,1,1
1346,1,1,1,1,0
1516,1,1,1,1,1
1643,1,1,1,1,1
1702,0,0,0,0,0
1755,1,1,1,1,1
1836,1,1,1,1,1
1936,1,1,1,1,1
2720,1,0,0,0,0
3232,1,1,1,1,1
3572,1,1,1,1,1
4369,1,1,1,1,1
4484,1,1,1,1,1
4603,1,1,1,1,1
4717,1,1,1,1,1
4870,1,1,1,1,1
5845,1,1,1,1,0
6022,1,1,0,0,0
6150,1,0,0,0,0
6904,1,1,1,1,1
7561,1,1,1,0,0
7563,1,1,1,1,1
7657,1,1,1,1,1
7723,1,1,1,1,1
7934,1,1,0,0,0
8023,1,1,0,0,0
8055,1,1,1,1,1
8610,1,0,0,0,0
8712,1,1,1,0,0
8820,1,1,1,1,1
9751,1,1,1,0,0
9916,1,1,1,1,1
10363,1,1,0,0,0
11040,1,1,1,1,1
11309,1,1,1,1,1
11880,1,1,1,1,1
12785,1,1,1,1,1
13735,1,1,1,1,1
14690,1,1,0,0,0
15050,1,1,1,1,1
15189,1,1,1,1,1
15753,1,1,1,1,0
15807,1,1,1,1,0
16098,1,1,1,1,1
16295,1,1,1,1,1
16881,1,0,0,0,0
17170,1,1,1,1,1
17318,1,1,1,1,0
17404,1,1,1,1,1
18549,1,1,1,1,1
19060,1,1,1,1,0
20185,1,1,1,1,1
20564,1,1,1,1,1
20643,1,1,1,1,1
20668,1,1,0,0,0
21200,1,1,1,1,0
21281,1,1,1,1,1
21403,1,0,0,0,0
21522,1,1,1,1,0
21596,1,1,1,1,1
22007,1,1,1,1,1
22793,1,1,1,0,0
23914,1,1,1,1,1
24443,1,1,1,1,1
24572,1,1,1,1,1
24703,1,1,1,1,1
24841,1,1,1,1,1
25022,1,1,1,1,1
25026,1,1,1,1,1
26036,1,1,1,1,1
26070,1,1,1,1,1
26105,1,1,1,1,1
26696,1,0,0,0,0
27075,1,1,1,1,1
27764,1,1,1,1,1
27907,1,1,1,1,1
28241,1,1,1,1,1
28371,1,1,1,1,1
29227,1,1,1,1,1
29527,1,1,1,1,1
30318,1,1,1,1,1
30462,1,0,0,0,0
30493,1,1,1,1,1
31336,1,1,1,1,1
31404,1,1,1,1,1
31499,1,1,1,1,1
31597,1,1,1,1,1
31766,1,1,1,0,0
32471,1,1,1,1,0
32521,1,1,1,1,1
32746,1,1,1,1,1
33265,1,1,1,1,1
33472,1,1,1,1,1
33752,1,1,1,1,1
34101,1,0,0,0,0
34608,1,1,0,0,0
35010,1,1,1,0,0
35091,1,1,0,0,0
35138,1,1,1,1,1
35181,1,1,1,1,1
35476,1,1,1,1,1
35922,1,1,1,1,1
36342,1,1,1,1,1
36363,1,1,1,1,1
36430,1,1,1,1,1
36432,1,1,1,0,0
36555,1,1,1,1,0
36986,1,1,1,1,1
37423,1,1,1,1,1
37667,1,1,1,1,1
37691,1,1,0,0,0
37705,1,1,1,1,1
37897,1,1,1,1,1
38275,1,0,0,0,0
38283,1,1,1,1,1
38340,1,1,1,1,1
38551,1,1,1,1,1
38775,1,0,0,0,0
39004,1,0,0,0,0
39566,1,1,1,1,1
40283,1,0,0,0,0
40439,1,1,1,1,1
40969,1,1,0,0,0
41122,1,1,1,1,1
41142,1,1,1,1,1
41199,1,1,1,1,1
41237,1,1,1,1,1
41924,1,1,1,0,0
42349,1,1,1,1,1
42725,1,1,1,1,1
43645,1,1,1,1,1
44705,1,1,1,1,1
44932,1,1,1,1,1
44995,1,1,0,0,0
45131,1,1,1,1,1
45232,1,1,1,1,1
45485,1,1,1,1,1
45510,1,1,1,1,1
46790,1,1,1,0,0
46934,1,0,0,0,0
47860,1,1,1,1,0
48448,1,1,1,1,1
48724,1,1,1,1,1
49709,1,1,1,1,1
49998,1,1,0,0,0
50053,1,1,1,1,1
50090,1,1,1,1,1
50325,1,1,1,1,1
50599,1,0,0,0,0
51493,1,1,1,1,1
51526,1,1,1,1,1
52309,1,1,1,0,0
52743,1,1,1,1,1
53396,1,1,1,1,1
54231,1,1,1,1,1
54893,1,1,1,1,1
55059,1,1,1,1,1
55265,1,1,1,1,1
55333,1,1,1,1,1
55951,1,0,0,0,0
56294,1,1,1,1,1
56570,1,1,1,1,0
56923,1,1,1,1,1
58194,1,1,1,1,1
58867,1,1,1,1,1
58962,1,1,1,1,1
59152,1,1,1,1,1
59360,1,1,1,1,1
59802,1,1,1,1,1
60101,1,1,1,1,1
60483,1,1,1,1,1
60802,1,1,1,1,0
60958,1,0,0,0,0
61007,1,0,0,0,0
61487,1,1,1,1,1
61650,1,1,1,1,1
61961,1,1,1,1,1
62284,1,1,1,1,1
62754,1,1,1,1,1
62791,1,1,1,1,1
62805,1,1,1,1,1
63507,1,1,1,1,1
63796,1,1,1,1,1
63879,1,1,1,1,1
63955,1,1,1,1,1
64058,1,1,1,1,1
64635,0,0,0,0,0
64885,1,1,0,0,0
65221,1,1,1,1,1
66160,1,1,1,1,1
66539,1,1,1,1,1
66930,1,1,1,1,0
67390,1,1,1,1,1
67452,1,1,1,1,1
67845,1,1,0,0,0
67925,1,1,1,1,1
68276,1,1,1,1,1
68884,1,1,1,1,0
68886,1,1,1,1,1
69568,1,1,1,1,0
69591,1,0,0,0,0
70576,1,1,1,1,1
70863,1,0,0,0,0
71159,1,0,0,0,0
72074,1,1,1,1,1
72388,1,1,1,1,0
72395,1,1,1,1,1
72915,1,1,1,1,1
72916,1,1,1,1,1
72988,1,0,0,0,0
73615,1,1,1,1,1
73648,1,1,1,1,1
74564,1,1,1,1,0
74844,1,1,1,1,0
74976,1,1,1,1,1
75033,1,1,1,1,1
75490,1,1,1,1,1
76429,1,1,1,1,1
76481,1,1,1,1,1
76635,1,1,1,0,0
76775,1,1,0,0,0
77276,1,1,1,1,1
77513,1,1,1,1,1
77651,0,0,0,0,0
77933,1,1,1,1,1
78720,1,0,0,0,0
78779,1,0,0,0,0
79452,1,1,1,1,1
79669,1,1,0,0,0
79897,1,1,1,1,1
80006,1,1,1,1,1
80126,1,1,1,1,1
80275,1,1,1,1,1
80479,1,1,1,1,1
80801,1,1,1,1,0
